ID,Longitude,Latitude,Processor,Address,SupplierName
Tatua154,175.545152,-37.602835,Tatua,491 Horrell Road,
Westland6,169.943062,-43.48590572,Westland,,
Westland13,170.09482,-43.31936,Westland,,
Westland15,170.11355,-43.34043,Westland,,
Westland17,170.12647,-43.36928,Westland,,
Westland21,170.14684,-43.38523,Westland,,
Westland23,170.19247,-43.36524,Westland,,
Westland25,170.20151,-43.34978,Westland,,
Westland30,170.35449,-43.27483,Westland,,
Westland31,170.3513349,-43.26554269,Westland,,
Westland34,170.33345,-43.26191,Westland,,
Westland36,170.32247,-43.25764,Westland,,
Westland37,170.33345,-43.26191,Westland,,
Westland38,170.3843855,-43.24887244,Westland,,
Westland39,170.3958,-43.24289,Westland,,
Westland40,170.38404,-43.22754,Westland,,
Westland42,170.3926,-43.22676,Westland,,
Westland43,170.39065,-43.21427,Westland,,
Westland44,170.39035,-43.20957,Westland,,
Westland47,170.38595,-43.1963,Westland,,
Westland48,170.37975,-43.18367,Westland,,
Westland49,170.35277,-43.15855,Westland,,
Westland50,170.36929,-43.18046,Westland,,
Westland53,170.3734295,-43.19214117,Westland,,
Westland54,170.36972,-43.19912,Westland,,
Westland55,170.37189,-43.21102,Westland,,
Westland58,170.37314,-43.22844,Westland,,
Westland60,170.36834,-43.23962,Westland,,
Westland62,170.3751047,-43.23554776,Westland,,
Westland64,170.36266,-43.24693,Westland,,
Westland65,170.36067,-43.25912,Westland,,
Westland66,170.37917,-43.26599,Westland,,
Westland67,170.38869,-43.26052,Westland,,
Westland68,170.37979,-43.28268,Westland,,
Westland70,170.42282,-43.25883,Westland,,
Westland72,170.4252,-43.25488,Westland,,
Westland76,170.43504,-43.23507,Westland,,
Westland77,170.43226,-43.21717,Westland,,
Westland79,170.44809,-43.21553,Westland,,
Westland90,170.48246,-43.16297,Westland,,
Westland91,170.48886,-43.14825,Westland,,
Westland93,170.51684,-43.18403,Westland,,
Westland95,170.51461,-43.17603,Westland,,
Westland97,170.50745,-43.15592,Westland,,
Westland98,170.49944,-43.13421,Westland,,
Westland100,170.47999,-43.11526,Westland,,
Westland103,170.49097,-43.12486,Westland,,
Westland106,170.55161,-43.14019,Westland,,
Westland109,170.55565,-43.13586,Westland,,
Westland111,170.55593,-43.12943,Westland,,
Westland115,170.55867,-43.12109,Westland,,
Westland122,170.51798,-43.07386,Westland,,
Westland124,170.53404,-43.08185,Westland,,
Westland126,170.54009,-43.08854,Westland,,
Westland128,170.5517,-43.09219,Westland,,
Westland129,170.57293,-43.08407,Westland,,
Westland130,170.56941,-43.08715,Westland,,
Westland131,170.5467639,-43.09299373,Westland,,
Westland132,170.56484,-43.1038,Westland,,
Westland133,170.57721,-43.1108,Westland,,
Westland135,170.59608,-43.10928,Westland,,
Westland140,170.59756,-43.1239,Westland,,
Westland142,170.56865,-43.12958,Westland,,
Westland144,170.58376,-43.13406,Westland,,
Westland146,170.60162,-43.13563,Westland,,
Westland147,170.60463,-43.13356,Westland,,
Westland154,170.56421,-43.14907,Westland,,
Westland157,170.60105,-43.15011,Westland,,
Westland160,170.63159,-43.12923,Westland,,
Westland162,170.63781,-43.1246,Westland,,
Westland163,170.62166,-43.10006,Westland,,
Westland165,170.61475,-43.08261,Westland,,
Westland167,170.74258,-43.08063,Westland,,
Westland169,170.74284,-43.06,Westland,,
Westland170,170.73904,-43.05835,Westland,,
Westland172,170.73751,-43.05145,Westland,,
Westland174,170.7346228,-43.04199692,Westland,,
Westland175,170.72864,-43.03833,Westland,,
Westland177,170.72866,-43.03539,Westland,,
Westland178,170.72108,-43.02894,Westland,,
Westland179,170.72487,-43.02679,Westland,,
Westland180,170.71499,-43.01194,Westland,,
Westland182,170.70335,-42.99126,Westland,,
Westland187,170.7257681,-42.93132072,Westland,,
Westland190,170.81234,-42.89128,Westland,,
Westland192,170.86239,-42.89764,Westland,,
Westland194,170.86494,-42.88335,Westland,,
Westland196,170.887619,-42.88272357,Westland,,
Westland199,171.01317,-42.78217,Westland,,
Westland203,171.00731,-42.87854,Westland,,
Westland205,171.00479,-42.88074,Westland,,
Westland206,170.99188,-42.90083,Westland,,
Westland207,171.01127,-42.8887,Westland,,
Westland208,171.01374,-42.89259,Westland,,
Westland209,171.0105,-42.90374,Westland,,
Westland211,171.01037,-42.91084,Westland,,
Westland212,171.00028,-42.91063,Westland,,
Westland215,171.01739,-42.91827,Westland,,
Westland218,171.01461,-42.92471,Westland,,
Westland220,171.02208,-42.93907,Westland,,
Westland222,171.02502,-42.92441,Westland,,
Westland224,171.03696,-42.91498,Westland,,
Westland227,171.05531,-42.94175,Westland,,
Westland230,171.05019,-42.93396,Westland,,
Westland231,171.04446,-42.92451,Westland,,
Westland232,171.04179,-42.91112,Westland,,
Westland233,171.03793,-42.90685,Westland,,
Westland234,171.03152,-42.90061,Westland,,
Westland236,171.06297,-42.90145,Westland,,
Westland237,171.0779,-42.91228,Westland,,
Westland238,171.087743,-42.9042719,Westland,,
Westland240,171.10405,-42.89097,Westland,,
Westland242,171.06281,-42.89173,Westland,,
Westland245,171.03909,-42.88594,Westland,,
Westland246,171.03957,-42.88748,Westland,,
Westland248,171.03261,-42.88502,Westland,,
Westland252,171.0194074,-42.8721299,Westland,,
Westland253,171.03064,-42.8585,Westland,,
Westland254,171.0252,-42.8662,Westland,,
Westland257,171.01067,-42.86808,Westland,,
Westland258,171.00998,-42.86571,Westland,,
Westland260,170.96377,-42.86639,Westland,,
Westland261,170.95881,-42.85857,Westland,,
Westland262,170.98267,-42.85012,Westland,,
Westland264,170.99938,-42.86148,Westland,,
Westland265,171.00426,-42.85836,Westland,,
Westland267,171.01646,-42.84194,Westland,,
Westland268,171.01714,-42.83647,Westland,,
Westland272,171.05283,-42.85337,Westland,,
Westland274,171.06035,-42.86671,Westland,,
Westland276,171.07875,-42.86933,Westland,,
Westland277,171.09333,-42.8761,Westland,,
Westland278,171.10302,-42.87584,Westland,,
Westland279,171.13538,-42.89129,Westland,,
Westland280,171.07715,-42.85514,Westland,,
Westland282,171.01926,-42.87275,Westland,,
Westland283,171.06771,-42.84727,Westland,,
Westland285,171.06576,-42.84101,Westland,,
Westland287,171.038,-42.84454,Westland,,
Westland288,171.04479,-42.84426,Westland,,
Westland290,171.03853,-42.83204,Westland,,
Westland292,171.03611,-42.82248,Westland,,
Westland295,171.03643,-42.80475,Westland,,
Westland297,171.04017,-42.80027,Westland,,
Westland298,171.03759,-42.7932,Westland,,
Westland299,171.01172,-42.76256,Westland,,
Westland302,171.08695,-42.71986,Westland,,
Westland305,171.03604,-42.68956,Westland,,
Westland306,171.0272,-42.68277,Westland,,
Westland308,171.0158362,-42.6724668,Westland,,
Westland309,171.109217,-42.71562713,Westland,,
Westland310,171.06006,-42.69829,Westland,,
Westland311,171.03827,-42.66388,Westland,,
Westland312,171.10469,-42.70734,Westland,,
Westland313,171.15643,-42.73454,Westland,,
Westland314,171.0756,-42.66506,Westland,,
Westland316,171.0913046,-42.61247016,Westland,,
Westland317,171.1498977,-42.60969488,Westland,,
Westland318,171.16615,-42.56349,Westland,,
Westland319,171.16862,-42.54047,Westland,,
Westland321,171.28817,-42.71187,Westland,,
Westland322,171.26776,-42.70725,Westland,,
Westland325,171.26391,-42.69615,Westland,,
Westland326,171.27119,-42.69056,Westland,,
Westland327,171.25745,-42.68911,Westland,,
Westland330,171.24664,-42.67646,Westland,,
Westland331,171.2508,-42.68472,Westland,,
Westland334,171.38301,-42.75411,Westland,,
Westland335,171.4061546,-42.74611027,Westland,,
Westland338,171.45448,-42.69107,Westland,,
Westland339,171.46068,-42.69516,Westland,,
Westland341,171.45157,-42.69919,Westland,,
Westland342,171.45113,-42.71038,Westland,,
Westland346,171.4578,-42.71937,Westland,,
Westland347,171.5284,-42.69094,Westland,,
Westland348,171.47039,-42.72127,Westland,,
Westland349,171.51333,-42.69986,Westland,,
Westland350,171.54519,-42.67461,Westland,,
Westland353,171.56821,-42.66521,Westland,,
Westland357,171.57367,-42.66001,Westland,,
Westland360,171.59083,-42.64291,Westland,,
Westland361,171.58047,-42.63002,Westland,,
Westland362,171.58153,-42.64966,Westland,,
Westland363,171.5732876,-42.6519618,Westland,,
Westland367,171.56534,-42.65195,Westland,,
Westland368,171.53869,-42.66189,Westland,,
Westland369,171.58047,-42.63002,Westland,,
Westland371,171.54633,-42.63055,Westland,,
Westland372,171.52447,-42.61008,Westland,,
Westland373,171.49703,-42.60569,Westland,,
Westland377,171.46339,-42.54814,Westland,,
Westland378,171.47679,-42.54797,Westland,,
Westland380,171.4092575,-42.54966598,Westland,,
Westland383,171.37636,-42.47843,Westland,,
Westland384,171.4009463,-42.48659796,Westland,,
Westland386,171.4306545,-42.49709654,Westland,,
Westland394,171.50443,-42.52628,Westland,,
Westland396,171.53642,-42.52778,Westland,,
Westland398,171.55688,-42.54484,Westland,,
Westland403,171.59239,-42.54396,Westland,,
Westland404,171.71165,-42.59657,Westland,,
Westland405,171.72783,-42.58549,Westland,,
Westland407,171.76618,-42.56827,Westland,,
Westland409,171.83003,-42.5668,Westland,,
Westland410,171.81613,-42.54214,Westland,,
Westland412,171.58914,-42.50062,Westland,,
Westland415,171.50145,-42.4081,Westland,,
Westland416,171.4874,-42.40948,Westland,,
Westland417,171.47214,-42.40326,Westland,,
Westland425,171.2089,-42.42708,Westland,,
Westland426,171.23843,-42.4448,Westland,,
Westland428,171.28247,-42.4374,Westland,,
Westland430,171.4108,-42.38265,Westland,,
Westland431,171.447101,-42.33742435,Westland,,
Westland433,171.5169201,-42.28361956,Westland,,
Westland434,171.48706,-42.34067,Westland,,
Westland435,171.52322,-42.32124,Westland,,
Westland436,171.532,-42.31928,Westland,,
Westland437,171.52097,-42.3352,Westland,,
Westland438,171.52278,-42.27068,Westland,,
Westland439,171.53838,-42.27439,Westland,,
Westland440,171.53807,-42.25852,Westland,,
Westland441,171.63767,-42.27379,Westland,,
Westland442,171.55408,-42.31105,Westland,,
Westland443,171.57553,-42.29791,Westland,,
Westland444,171.66346,-42.26962,Westland,,
Westland445,171.66165,-42.2354,Westland,,
Westland447,171.66647,-42.24854,Westland,,
Westland449,171.67238,-42.25732,Westland,,
Westland453,171.42637,-42.40288,Westland,,
Westland454,171.47963,-42.39698,Westland,,
Westland455,171.47939,-42.36271,Westland,,
Westland459,171.47583,-42.36762,Westland,,
Westland461,171.51187,-42.36692,Westland,,
Westland462,171.51407,-42.35787,Westland,,
Westland463,171.54278,-42.33418,Westland,,
Westland464,171.56363,-42.3393,Westland,,
Westland467,171.62053,-42.36854,Westland,,
Westland468,171.62084,-42.36619,Westland,,
Westland472,171.60365,-42.36174,Westland,,
Westland473,171.58847,-42.35551,Westland,,
Westland474,171.5935,-42.35207,Westland,,
Westland475,171.58229,-42.34495,Westland,,
Westland476,171.5741424,-42.34341522,Westland,,
Westland477,171.57392,-42.33137,Westland,,
Westland478,171.58398,-42.33528,Westland,,
Westland480,171.58875,-42.31561,Westland,,
Westland486,171.62374,-42.28979,Westland,,
Westland487,171.63373,-42.28825,Westland,,
Westland488,171.63438,-42.29997,Westland,,
Westland490,171.64951,-42.29197,Westland,,
Westland491,171.65601,-42.29767,Westland,,
Westland493,171.69444,-42.27677,Westland,,
Westland496,171.69835,-42.24399,Westland,,
Westland500,171.6922272,-42.23118309,Westland,,
Westland502,171.72351,-42.19982,Westland,,
Westland505,171.70048,-42.16876,Westland,,
Westland507,171.6716,-42.18896,Westland,,
Westland508,171.68576,-42.17816,Westland,,
Westland509,171.65334,-42.19324,Westland,,
Westland510,171.71231,-42.18412,Westland,,
Westland511,171.71295,-42.1941,Westland,,
Westland512,171.68978,-42.2067,Westland,,
Westland513,171.72344,-42.18968,Westland,,
Westland514,171.73211,-42.1768,Westland,,
Westland516,171.73423,-42.15858,Westland,,
Westland518,171.74111,-42.16347,Westland,,
Westland520,171.76779,-42.09309,Westland,,
Westland522,171.76024,-42.10562,Westland,,
Westland525,171.76282,-42.11931,Westland,,
Westland526,171.7672636,-42.13162106,Westland,,
Westland527,171.75465,-42.14578,Westland,,
Westland529,171.74502,-42.14641,Westland,,
Westland532,172.26144,-42.10958,Westland,,
Westland533,172.25457,-42.05018,Westland,,
Westland536,172.2238479,-42.12717687,Westland,,
Westland537,172.21296,-42.14824,Westland,,
Westland540,172.23469,-42.15223,Westland,,
Westland542,172.2142137,-42.20086381,Westland,,
Westland543,172.22729,-42.17341,Westland,,
Westland544,172.22208,-42.18,Westland,,
Westland545,172.21713,-42.21085,Westland,,
Westland546,172.1974266,-42.19555994,Westland,,
Westland547,172.200954,-42.28316678,Westland,,
Westland548,172.18575,-42.31327,Westland,,
Westland550,172.18911,-42.32352,Westland,,
Westland551,172.18207,-42.33953,Westland,,
Westland553,172.11753,-42.4091,Westland,,
Westland554,171.9319076,-42.17982269,Westland,,
Westland556,171.93328,-42.17317,Westland,,
Westland558,171.85177,-42.10588,Westland,,
Westland560,171.90295,-42.08229,Westland,,
Westland561,171.8905,-42.08195,Westland,,
Westland563,171.87792,-42.08727,Westland,,
Westland567,171.85823,-42.08992,Westland,,
Westland568,171.84123,-42.09223,Westland,,
Westland569,171.86486,-42.07212,Westland,,
Westland570,171.84232,-42.0736,Westland,,
Westland571,171.84579,-42.06671,Westland,,
Westland572,171.83486,-42.06079,Westland,,
Westland573,171.84002,-42.04577,Westland,,
Westland574,171.85476,-42.04267,Westland,,
Westland575,171.85241,-42.03133,Westland,,
Westland576,171.8487717,-42.02429679,Westland,,
Westland577,171.87207,-42.01694,Westland,,
Westland578,171.87052,-42.02379,Westland,,
Westland583,171.89536,-42.00251,Westland,,
Westland587,171.91574,-41.97798,Westland,,
Westland588,171.89313,-41.9734,Westland,,
Westland590,171.89351,-41.9655,Westland,,
Westland591,171.89732,-41.96177,Westland,,
Westland598,171.89161,-41.94003,Westland,,
Westland602,171.90469,-41.90355,Westland,,
Westland605,171.92976,-41.86482,Westland,,
Westland610,171.89539,-41.83561,Westland,,
Westland611,171.87884,-41.84533,Westland,,
Westland616,171.97594,-41.86509,Westland,,
Westland617,172.19379,-41.9378,Westland,,
Westland618,172.1885561,-41.92352792,Westland,,
Westland619,172.2212085,-41.90359047,Westland,,
Westland620,172.2301218,-41.86850267,Westland,,
Westland621,172.2561128,-41.88711574,Westland,,
Westland622,172.21485,-41.78526,Westland,,
Westland623,172.2102329,-41.79460998,Westland,,
Westland624,172.2630039,-41.77580748,Westland,,
Westland626,172.02603,-41.76958,Westland,,
Westland630,172.02122,-41.79064,Westland,,
Westland631,172.02107,-41.7827,Westland,,
Westland632,171.98917,-41.83794,Westland,,
Westland634,171.96062,-41.85536,Westland,,
Westland635,171.94663,-41.85457,Westland,,
Westland636,171.92196,-41.87728,Westland,,
Westland639,171.90857,-41.88708,Westland,,
Westland642,171.93028,-41.90055,Westland,,
Westland665,171.31797,-42.25032,Westland,,
Westland670,171.31218,-42.23734,Westland,,
Westland675,171.33219,-42.22054,Westland,,
Westland701,171.45414,-41.89903,Westland,,
Westland705,171.46073,-41.8774,Westland,,
Westland712,171.51842,-41.86101,Westland,,
Westland714,171.4972,-41.83602,Westland,,
Westland730,171.53099,-41.81238,Westland,,
Westland738,171.50716,-41.80567,Westland,,
